fMRI_SupportViol_Lib-Con,MoralCon_CoreBeliefs_Lib-Con,JSI_Vic,Amygdala_LR_Lib-grt-Con,dmPFC_LR_Lib-grt-Con,dlPFC_LR_Lib-grt-Con,TPJ_LR_Lib-grt-Con,vmPFC_LR_Lib-grt-Con,VS_LR_Lib-grt-Con
0.000,0.000,36,-0.02290,-0.00279,0.01955,0.00510,-0.02604,0.05005
2.614,0.067,33,-0.06137,0.01071,0.06862,0.00479,-0.04488,-0.02476
-0.042,0.400,35,0.02439,0.00992,0.02774,-0.01755,0.03039,0.00947
1.000,0.533,42,-0.04153,0.01460,0.00155,0.00234,-0.04054,-0.02825
0.600,0.000,20,-0.00729,0.00380,0.04200,0.01109,-0.03914,0.00817
0.933,0.667,28,-0.01394,-0.00791,-0.03586,0.02803,0.00693,0.01492
-0.050,1.600,10,-0.02913,-0.00541,0.00638,-0.03323,-0.01806,-0.00291
-0.092,-0.333,40,0.06155,-0.00038,-0.00029,-0.01585,0.04702,0.00142
1.435,-0.600,46,-0.01448,0.02821,0.02547,0.01103,0.03972,0.00171
0.350,0.467,22,-0.00060,0.01656,0.02323,0.02795,-0.00034,0.00206
1.550,0.467,58,-0.01909,0.01726,0.05628,0.01713,-0.00043,0.04194
-0.459,1.267,30,-0.05631,-0.02912,-0.03021,0.00932,0.00751,0.00555
1.950,0.600,49,-0.02452,-0.00151,-0.04147,-0.03367,0.00666,-0.00488
0.600,0.667,37,-0.02808,-0.01051,0.00726,-0.00296,-0.02180,-0.02040
1.600,0.867,49,-0.01077,0.02287,0.04233,-0.02738,0.00395,0.01537
0.405,0.533,46,-0.02805,0.01267,-0.01232,-0.02692,0.01295,0.01252
1.100,-0.400,38,-0.02161,0.00248,-0.00306,0.00387,0.02425,-0.00993
0.789,0.000,27,0.05509,-0.00741,-0.01727,-0.02182,-0.01032,-0.04348
0.366,0.200,54,0.00778,0.03013,0.04157,0.02166,0.03713,0.03632
0.700,0.400,33,-0.03063,-0.00721,0.00139,-0.02967,-0.02412,-0.03859
0.200,-0.267,38,0.02565,0.01522,0.03689,0.04601,0.01575,0.02202
0.100,1.067,37,-0.04833,0.01550,0.00976,-0.01201,0.03752,0.04304
1.100,0.400,39,0.03402,0.03964,0.01754,0.00516,0.00668,0.01535
0.950,0.000,54,0.01571,0.01196,0.02842,-0.01907,0.03767,0.00653
0.500,0.000,33,0.03411,0.02968,0.02097,0.05233,0.04031,0.04893
0.635,-0.333,56,-0.01295,-0.00445,0.01202,-0.12557,-0.02118,-0.01652
-0.500,0.933,29,0.02158,0.01477,-0.00530,0.01046,0.01993,0.03647
1.900,0.933,41,-0.03583,0.00251,-0.02724,0.00609,-0.03393,0.04019
0.884,0.533,40,-0.02566,0.04259,0.02134,-0.04301,0.02417,0.00741
1.842,0.000,42,0.00314,0.00161,0.08180,0.00106,-0.02787,0.01683
1.095,0.400,38,-0.00410,0.00863,-0.01416,0.02429,0.00403,0.00864
0.200,0.333,50,-0.03416,0.02090,0.04251,-0.04781,0.00742,0.01993
